//ID,Period,WEDAY,HRS
1,201001,1/1/2010,0
2,201001,1/8/2010,36
3,201001,1/15/2010,44
4,201001,1/22/2010,36
5,201001,1/29/2010,44
6,201002,2/5/2010,36
7,201002,2/12/2010,44
8,201002,2/19/2010,36
9,201002,2/26/2010,44
10,201003,3/5/2010,36
11,201003,3/12/2010,44
12,201003,3/19/2010,36
13,201003,3/26/2010,44
14,201004,4/2/2010,36
15,201004,4/9/2010,44
16,201004,4/16/2010,36
17,201004,4/23/2010,44
18,201004,4/30/2010,36
19,201005,5/7/2010,44
20,201005,5/14/2010,36
21,201005,5/21/2010,44
22,201005,5/28/2010,36
23,201006,6/4/2010,35
24,201006,6/11/2010,36
25,201006,6/18/2010,44
26,201006,6/25/2010,36
27,201007,7/2/2010,36
28,201007,7/9/2010,27
29,201007,7/16/2010,44
30,201007,7/23/2010,36
31,201007,7/30/2010,44
32,201008,8/6/2010,36
33,201008,8/13/2010,44
34,201008,8/20/2010,36
35,201008,8/27/2010,44
36,201009,9/3/2010,36
37,201009,9/10/2010,35
38,201009,9/17/2010,36
39,201009,9/24/2010,44
40,201010,10/1/2010,36
41,201010,10/8/2010,44
42,201010,10/15/2010,36
43,201010,10/22/2010,44
44,201010,10/29/2010,36
45,201011,11/5/2010,44
46,201011,11/12/2010,36
47,201011,11/19/2010,44
48,201011,11/26/2010,27
49,201012,12/3/2010,44
50,201012,12/10/2010,36
51,201012,12/17/2010,44
52,201012,12/24/2010,36
53,201012,12/31/2010,0
54,201101,1/7/2011,27
55,201101,1/14/2011,44
56,201101,1/21/2011,36
57,201101,1/28/2011,44
58,201102,2/4/2011,36
59,201102,2/11/2011,44
60,201102,2/18/2011,36
61,201102,2/25/2011,44
62,201103,3/4/2011,36
63,201103,3/11/2011,44
64,201103,3/18/2011,36
65,201103,3/25/2011,44
66,201104,4/1/2011,36
67,201104,4/8/2011,44
68,201104,4/15/2011,36
69,201104,4/22/2011,44
70,201104,4/29/2011,36
71,201105,5/6/2011,44
72,201105,5/13/2011,36
73,201105,5/20/2011,44
74,201105,5/27/2011,36
75,201106,6/3/2011,35
76,201106,6/10/2011,36
77,201106,6/17/2011,44
78,201106,6/24/2011,36
79,201107,7/1/2011,36
80,201107,7/8/2011,27
81,201107,7/15/2011,44
82,201107,7/22/2011,36
83,201107,7/29/2011,44
84,201108,8/5/2011,36
85,201108,8/12/2011,44
86,201108,8/19/2011,36
87,201108,8/26/2011,44
88,201109,9/2/2011,36
89,201109,9/9/2011,35
90,201109,9/16/2011,36
91,201109,9/23/2011,44
92,201109,9/30/2011,36
93,201110,10/7/2011,44
94,201110,10/14/2011,36
95,201110,10/21/2011,44
96,201110,10/28/2011,36
97,201111,11/4/2011,44
98,201111,11/11/2011,36
99,201111,11/18/2011,44
100,201111,11/25/2011,27
101,201112,12/2/2011,44
102,201112,12/9/2011,36
103,201112,12/16/2011,44
104,201112,12/23/2011,36
105,201112,12/30/2011,0
106,201201,1/6/2012,36
107,201201,1/13/2012,44
108,201201,1/20/2012,36
109,201201,1/27/2012,44
110,201202,2/3/2012,36
111,201202,2/10/2012,44
112,201202,2/17/2012,36
113,201202,2/24/2012,44
114,201203,3/2/2012,36
115,201203,3/9/2012,44
116,201203,3/16/2012,36
117,201203,3/23/2012,44
118,201203,3/30/2012,36
119,201204,4/6/2012,44
120,201204,4/13/2012,36
121,201204,4/20/2012,44
122,201204,4/27/2012,36
123,201205,5/4/2012,44
124,201205,5/11/2012,36
125,201205,5/18/2012,44
126,201205,5/25/2012,36
127,201206,6/1/2012,35
128,201206,6/8/2012,36
129,201206,6/15/2012,44
130,201206,6/22/2012,36
131,201206,6/29/2012,44
132,201207,7/6/2012,18
133,201207,7/13/2012,44
134,201207,7/20/2012,36
135,201207,7/27/2012,44
136,201208,8/3/2012,36
137,201208,8/10/2012,44
138,201208,8/17/2012,36
139,201208,8/24/2012,44
140,201208,8/31/2012,36
141,201209,9/7/2012,35
142,201209,9/14/2012,36
143,201209,9/21/2012,44
144,201209,9/28/2012,36
145,201210,10/5/2012,44
146,201210,10/12/2012,36
147,201210,10/19/2012,44
148,201210,10/26/2012,36
149,201211,11/2/2012,44
150,201211,11/9/2012,36
151,201211,11/16/2012,44
152,201211,11/23/2012,27
153,201211,11/30/2012,44
154,201212,12/7/2012,36
155,201212,12/14/2012,44
156,201212,12/21/2012,36
157,201212,12/28/2012,0
158,201212,12/31/2012,0
159,201301,1/4/2013,18
160,201301,1/11/2013,44
161,201301,1/18/2013,36
162,201301,1/25/2013,44
163,201302,2/1/2013,36
164,201302,2/8/2013,44
165,201302,2/15/2013,36
166,201302,2/22/2013,44
167,201303,3/1/2013,36
168,201303,3/8/2013,44
169,201303,3/15/2013,36
170,201303,3/22/2013,44
171,201303,3/29/2013,36
172,201304,4/5/2013,44
173,201304,4/12/2013,36
174,201304,4/19/2013,44
175,201304,4/26/2013,36
176,201305,5/3/2013,44
177,201305,5/10/2013,36
178,201305,5/17/2013,44
179,201305,5/24/2013,36
180,201305,5/31/2013,35
181,201306,6/7/2013,36
182,201306,6/14/2013,44
183,201306,6/21/2013,36
184,201306,6/28/2013,44
185,201307,7/5/2013,27
186,201307,7/12/2013,44
187,201307,7/19/2013,36
188,201307,7/26/2013,44
189,201308,8/2/2013,36
190,201308,8/9/2013,44
191,201308,8/16/2013,36
192,201308,8/23/2013,44
193,201308,8/30/2013,36
194,201309,9/6/2013,35
195,201309,9/13/2013,36
196,201309,9/20/2013,44
197,201309,9/27/2013,36
198,201310,10/4/2013,44
199,201310,10/11/2013,36
200,201310,10/18/2013,44
201,201310,10/25/2013,36
202,201311,11/1/2013,44
203,201311,11/8/2013,36
204,201311,11/15/2013,44
205,201311,11/22/2013,36
206,201311,11/29/2013,27
207,201312,12/6/2013,36
208,201312,12/13/2013,44
209,201312,12/20/2013,36
210,201312,12/27/2013,9
211,201312,12/31/2013,0
212,201401,1/3/2014,9
213,201401,1/10/2014,44
214,201401,1/17/2014,36
215,201401,1/24/2014,44
216,201401,1/31/2014,36
217,201402,2/7/2014,44
218,201402,2/14/2014,36
219,201402,2/21/2014,44
220,201402,2/28/2014,36
221,201403,3/7/2014,44
222,201403,3/14/2014,36
223,201403,3/21/2014,44
224,201403,3/28/2014,36
225,201404,4/4/2014,44
226,201404,4/11/2014,36
227,201404,4/18/2014,44
228,201404,4/25/2014,36
229,201405,5/2/2014,44
230,201405,5/9/2014,36
231,201405,5/16/2014,44
232,201405,5/23/2014,36
233,201405,5/30/2014,35
234,201406,6/6/2014,36
235,201406,6/13/2014,44
236,201406,6/20/2014,36
237,201406,6/27/2014,44
238,201407,7/4/2014,36
239,201407,7/11/2014,44
240,201407,7/18/2014,36
241,201407,7/25/2014,44
242,201408,8/1/2014,36
243,201408,8/8/2014,44
244,201408,8/15/2014,36
245,201408,8/22/2014,44
246,201408,8/29/2014,36
247,201409,9/5/2014,35
248,201409,9/12/2014,36
249,201409,9/19/2014,44
250,201409,9/26/2014,36
251,201410,10/3/2014,44
252,201410,10/10/2014,36
253,201410,10/17/2014,44
254,201410,10/24/2014,36
255,201410,10/31/2014,44
256,201411,11/7/2014,36
257,201411,11/14/2014,44
258,201411,11/21/2014,36
259,201411,11/28/2014,27
260,201412,12/5/2014,36
261,201412,12/12/2014,44
262,201412,12/19/2014,36
263,201412,12/26/2014,18
264,201412,12/31/2014,0
265,201501,1/2/2015,0
266,201501,1/9/2015,44
267,201501,1/16/2015,36
268,201501,1/23/2015,44
269,201501,1/30/2015,36
270,201502,2/6/2015,44
271,201502,2/13/2015,36
272,201502,2/20/2015,44
273,201502,2/27/2015,36
274,201503,3/6/2015,44
275,201503,3/13/2015,36
276,201503,3/20/2015,44
277,201503,3/27/2015,36
278,201504,4/3/2015,44
279,201504,4/10/2015,36
280,201504,4/17/2015,44
281,201504,4/24/2015,36
282,201505,5/1/2015,44
283,201505,5/8/2015,36
284,201505,5/15/2015,44
285,201505,5/22/2015,36
286,201505,5/29/2015,35
287,201506,6/5/2015,36
288,201506,6/12/2015,44
289,201506,6/19/2015,36
290,201506,6/26/2015,44
291,201507,7/3/2015,36
292,201507,7/10/2015,44
293,201507,7/17/2015,36
294,201507,7/24/2015,44
295,201507,7/31/2015,36
296,201508,8/7/2015,44
297,201508,8/14/2015,36
298,201508,8/21/2015,44
299,201508,8/28/2015,36
300,201509,9/4/2015,44
301,201509,9/11/2015,27
302,201509,9/18/2015,44
303,201509,9/25/2015,36
304,201510,10/2/2015,44
305,201510,10/9/2015,36
306,201510,10/16/2015,44
307,201510,10/23/2015,36
308,201510,10/30/2015,44
309,201511,11/6/2015,36
310,201511,11/13/2015,44
311,201511,11/20/2015,36
312,201511,11/27/2015,27
313,201512,12/4/2015,36
314,201512,12/11/2015,44
315,201512,12/18/2015,36
316,201512,12/25/2015,27
317,201601,1/1/2016,0
318,201601,1/8/2016,44
319,201601,1/15/2016,36
320,201601,1/22/2016,44
321,201601,1/29/2016,36
322,201602,2/5/2016,44
323,201602,2/12/2016,36
324,201602,2/19/2016,44
325,201602,2/26/2016,36
326,201603,3/4/2016,44
327,201603,3/11/2016,36
328,201603,3/18/2016,44
329,201603,3/25/2016,36
330,201604,4/1/2016,44
331,201604,4/8/2016,36
332,201604,4/15/2016,44
333,201604,4/22/2016,36
334,201604,4/29/2016,44
335,201605,5/6/2016,36
336,201605,5/13/2016,44
337,201605,5/20/2016,36
338,201605,5/27/2016,44
339,201606,6/3/2016,27
340,201606,6/10/2016,44
341,201606,6/17/2016,36
342,201606,6/24/2016,44
343,201607,7/1/2016,36
344,201607,7/8/2016,35
345,201607,7/15/2016,36
346,201607,7/22/2016,44
347,201607,7/29/2016,36
348,201608,8/5/2016,44
349,201608,8/12/2016,36
350,201608,8/19/2016,44
351,201608,8/26/2016,36
352,201609,9/2/2016,44
353,201609,9/9/2016,27
354,201609,9/16/2016,44
355,201609,9/23/2016,36
356,201609,9/30/2016,44
357,201610,10/7/2016,36
358,201610,10/14/2016,44
359,201610,10/21/2016,36
360,201610,10/28/2016,44
361,201611,11/4/2016,36
362,201611,11/11/2016,44
363,201611,11/18/2016,36
364,201611,11/25/2016,27
365,201612,12/2/2016,36
366,201612,12/9/2016,44
367,201612,12/16/2016,36
368,201612,12/23/2016,44
369,201612,12/30/2016,0
370,201701,1/6/2017,35
371,201701,1/13/2017,36
372,201701,1/20/2017,44
373,201701,1/27/2017,36
374,201702,2/3/2017,44
375,201702,2/10/2017,36
376,201702,2/17/2017,44
377,201702,2/24/2017,36
378,201703,3/3/2017,44
379,201703,3/10/2017,36
380,201703,3/17/2017,44
381,201703,3/24/2017,36
382,201703,3/31/2017,44
383,201704,4/7/2017,36
384,201704,4/14/2017,44
385,201704,4/21/2017,36
386,201704,4/28/2017,44
387,201705,5/5/2017,36
388,201705,5/12/2017,44
389,201705,5/19/2017,36
390,201705,5/26/2017,44
391,201706,6/2/2017,27
392,201706,6/9/2017,44
393,201706,6/16/2017,36
394,201706,6/23/2017,44
395,201706,6/30/2017,36
396,201707,7/7/2017,35
397,201707,7/14/2017,36
398,201707,7/21/2017,44
399,201707,7/28/2017,36
400,201708,8/4/2017,44
401,201708,8/11/2017,36
402,201708,8/18/2017,44
403,201708,8/25/2017,36
404,201709,9/1/2017,44
405,201709,9/8/2017,27
406,201709,9/15/2017,44
407,201709,9/22/2017,36
408,201709,9/29/2017,44
409,201710,10/6/2017,36
410,201710,10/13/2017,44
411,201710,10/20/2017,36
412,201710,10/27/2017,44
413,201711,11/3/2017,36
414,201711,11/10/2017,44
415,201711,11/17/2017,36
416,201711,11/24/2017,27
417,201712,12/1/2017,36
418,201712,12/8/2017,44
419,201712,12/15/2017,36
420,201712,12/22/2017,44
421,201712,12/29/2017,0
